0.00.251.880 I llama_model_loader: - kv  28:                qwen35.nextn_predict_layers u32              = 1
0.00.605.102 I load_tensors:        CUDA0 model buffer size =     0.00 MiB
0.00.605.106 I load_tensors:    CUDA_Host model buffer size =     0.00 MiB
0.00.610.381 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.00.610.886 I llama_kv_cache:      CUDA0 KV buffer size =     0.00 MiB
0.00.613.013 I llama_memory_recurrent:      CUDA0 RS buffer size =   598.50 MiB
0.00.630.907 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.00.630.910 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.00.631.546 I common_memory_breakdown_print: | memory breakdown [MiB]  | total    free     self   model   context   compute    unaccounted |
0.00.631.549 I common_memory_breakdown_print: |   - CUDA0 (RTX 5060 Ti) | 15849 = 15099 + (14931 = 13061 +    1686 +     184) +      -14181 |
0.00.631.551 I common_memory_breakdown_print: |   - Host                |                    547 =   520 +       0 +      26                |
0.00.724.514 I llama_model_loader: - kv  28:                qwen35.nextn_predict_layers u32              = 1
0.01.068.339 I load_tensors:        CUDA0 model buffer size =     0.00 MiB
0.01.068.341 I load_tensors:    CUDA_Host model buffer size =     0.00 MiB
0.01.072.221 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.01.072.483 I llama_kv_cache:      CUDA0 KV buffer size =     0.00 MiB
0.01.083.246 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.01.083.249 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.01.083.449 I common_memory_breakdown_print: | memory breakdown [MiB]  | total    free     self   model   context   compute    unaccounted |
0.01.083.451 I common_memory_breakdown_print: |   - CUDA0 (RTX 5060 Ti) | 15849 = 15699 + (13313 = 13061 +      68 +     184) +      -13163 |
0.01.083.453 I common_memory_breakdown_print: |   - Host                |                    547 =   520 +       0 +      26                |
0.01.131.110 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.01.168.825 I llama_model_loader: - kv  28:                qwen35.nextn_predict_layers u32              = 1
0.02.045.248 I load_tensors:   CPU_Mapped model buffer size =   521.00 MiB
0.02.045.249 I load_tensors:        CUDA0 model buffer size = 13061.10 MiB
0.04.219.139 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.04.219.662 I llama_kv_cache:      CUDA0 KV buffer size =  1088.00 MiB
0.04.224.144 I llama_memory_recurrent:      CUDA0 RS buffer size =   598.50 MiB
0.04.265.136 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.04.265.141 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.04.349.761 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.04.350.984 I llama_kv_cache:      CUDA0 KV buffer size =    68.00 MiB
0.04.378.598 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.04.378.602 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.04.447.152 I spec common_specu: adding speculative implementation 'draft-mtp'
0.04.447.158 I spec common_specu: - n_max=3, n_min=0, p_min=0.00, n_embd=5120, backend_sampling=1
0.04.447.161 I spec common_specu: - gpu_layers=0, cache_k=q8_0, cache_v=q8_0, ctx_tgt=yes, ctx_dft=yes, devices=[default]
0.04.475.586 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.04.475.590 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.04.491.469 I srv  llama_server: model loaded
3.03.110.217 D spec common_specu: called impl draft-mtp, hist size = 39, call_count = 1, gen = 3
3.03.210.313 D spec common_specu: called impl draft-mtp, hist size = 43, call_count = 2, gen = 3
3.03.280.195 D spec common_specu: called impl draft-mtp, hist size = 47, call_count = 3, gen = 3
3.03.337.089 D spec common_specu: called impl draft-mtp, hist size = 51, call_count = 4, gen = 3
3.03.393.732 D spec common_specu: called impl draft-mtp, hist size = 55, call_count = 5, gen = 3
3.03.450.330 D spec common_specu: called impl draft-mtp, hist size = 58, call_count = 6, gen = 3
3.03.507.107 D spec common_specu: called impl draft-mtp, hist size = 62, call_count = 7, gen = 3
3.03.563.977 D spec common_specu: called impl draft-mtp, hist size = 66, call_count = 8, gen = 3
3.03.621.251 D spec common_specu: called impl draft-mtp, hist size = 70, call_count = 9, gen = 3
3.03.677.804 D spec common_specu: called impl draft-mtp, hist size = 74, call_count = 10, gen = 3
3.03.734.771 D spec common_specu: called impl draft-mtp, hist size = 78, call_count = 11, gen = 3
3.03.791.280 D spec common_specu: called impl draft-mtp, hist size = 82, call_count = 12, gen = 3
3.03.847.953 D spec common_specu: called impl draft-mtp, hist size = 86, call_count = 13, gen = 3
3.03.904.421 D spec common_specu: called impl draft-mtp, hist size = 90, call_count = 14, gen = 3
3.03.961.141 D spec common_specu: called impl draft-mtp, hist size = 94, call_count = 15, gen = 3
3.04.018.513 D spec common_specu: called impl draft-mtp, hist size = 98, call_count = 16, gen = 3
3.04.075.891 D spec common_specu: called impl draft-mtp, hist size = 99, call_count = 17, gen = 3
3.04.132.804 D spec common_specu: called impl draft-mtp, hist size = 101, call_count = 18, gen = 3
3.04.190.111 D spec common_specu: called impl draft-mtp, hist size = 104, call_count = 19, gen = 3
3.04.246.872 D spec common_specu: called impl draft-mtp, hist size = 106, call_count = 20, gen = 3
3.04.303.547 D spec common_specu: called impl draft-mtp, hist size = 108, call_count = 21, gen = 3
3.04.360.348 D spec common_specu: called impl draft-mtp, hist size = 112, call_count = 22, gen = 3
3.04.420.222 D spec common_specu: called impl draft-mtp, hist size = 116, call_count = 23, gen = 3
3.04.477.493 D spec common_specu: called impl draft-mtp, hist size = 120, call_count = 24, gen = 3
3.04.533.812 D spec common_specu: called impl draft-mtp, hist size = 121, call_count = 25, gen = 3
3.04.590.140 D spec common_specu: called impl draft-mtp, hist size = 123, call_count = 26, gen = 3
3.04.646.842 D spec common_specu: called impl draft-mtp, hist size = 127, call_count = 27, gen = 3
3.04.703.106 D spec common_specu: called impl draft-mtp, hist size = 128, call_count = 28, gen = 3
3.04.759.788 D spec common_specu: called impl draft-mtp, hist size = 132, call_count = 29, gen = 3
3.04.817.588 D spec common_specu: called impl draft-mtp, hist size = 136, call_count = 30, gen = 3
3.04.874.607 D spec common_specu: called impl draft-mtp, hist size = 140, call_count = 31, gen = 3
3.04.931.332 D spec common_specu: called impl draft-mtp, hist size = 144, call_count = 32, gen = 3
3.04.987.942 D spec common_specu: called impl draft-mtp, hist size = 148, call_count = 33, gen = 3
3.05.044.619 D spec common_specu: called impl draft-mtp, hist size = 152, call_count = 34, gen = 3
3.05.101.611 D spec common_specu: called impl draft-mtp, hist size = 154, call_count = 35, gen = 3
3.05.157.925 D spec common_specu: called impl draft-mtp, hist size = 157, call_count = 36, gen = 3
3.05.215.334 D spec common_specu: called impl draft-mtp, hist size = 161, call_count = 37, gen = 3
3.05.272.284 D spec common_specu: called impl draft-mtp, hist size = 165, call_count = 38, gen = 3
3.05.328.762 D spec common_specu: called impl draft-mtp, hist size = 167, call_count = 39, gen = 3
3.05.385.571 D spec common_specu: called impl draft-mtp, hist size = 170, call_count = 40, gen = 3
