0.01.116.573 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.04.383.678 I srv  llama_server: model loaded
0.41.662.180 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.23, t =   4.31 s / 950.08 tokens per second
0.43.447.323 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   5697, progress = 0.33, t =   6.17 s / 922.97 tokens per second
0.45.840.701 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7745, progress = 0.44, t =   8.48 s / 913.53 tokens per second
0.48.187.608 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9793, progress = 0.56, t =  10.82 s / 904.85 tokens per second
0.50.593.312 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  11841, progress = 0.68, t =  13.22 s / 895.39 tokens per second
0.53.066.566 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  13889, progress = 0.79, t =  15.69 s / 885.30 tokens per second
0.55.592.395 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  15937, progress = 0.91, t =  18.21 s / 875.25 tokens per second
0.56.834.563 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16915, progress = 0.97, t =  19.51 s / 866.83 tokens per second
0.57.194.598 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  17077, progress = 0.98, t =  19.93 s / 856.85 tokens per second
0.57.517.151 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  17212, progress = 0.99, t =  20.27 s / 849.34 tokens per second
0.57.952.875 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  17468, progress = 1.00, t =  20.66 s / 845.62 tokens per second
1.01.239.411 I slot print_timing: id  0 | task 0 | n_gen =    126, tg =  41.43 t/s, tg_3s =  41.76 t/s
1.04.290.463 I slot print_timing: id  0 | task 0 | n_gen =    310, tg =  50.92 t/s, tg_3s =  60.31 t/s
1.07.347.040 I slot print_timing: id  0 | task 0 | n_gen =    493, tg =  53.92 t/s, tg_3s =  59.87 t/s
1.10.398.723 I slot print_timing: id  0 | task 0 | n_gen =    629, tg =  51.57 t/s, tg_3s =  44.57 t/s
1.13.460.296 I slot print_timing: id  0 | task 0 | n_gen =    794, tg =  52.04 t/s, tg_3s =  53.89 t/s
1.16.466.541 I slot print_timing: id  0 | task 0 | n_gen =    975, tg =  53.39 t/s, tg_3s =  60.21 t/s
1.19.480.976 I slot print_timing: id  0 | task 0 | n_gen =   1155, tg =  54.28 t/s, tg_3s =  59.71 t/s
1.22.497.138 I slot print_timing: id  0 | task 0 | n_gen =   1316, tg =  54.17 t/s, tg_3s =  53.38 t/s
1.25.516.195 I slot print_timing: id  0 | task 0 | n_gen =   1475, tg =  54.00 t/s, tg_3s =  52.67 t/s
1.28.532.721 I slot print_timing: id  0 | task 0 | n_gen =   1637, tg =  53.97 t/s, tg_3s =  53.70 t/s
1.31.554.073 I slot print_timing: id  0 | task 0 | n_gen =   1792, tg =  53.73 t/s, tg_3s =  51.30 t/s
1.34.588.692 I slot print_timing: id  0 | task 0 | n_gen =   1952, tg =  53.65 t/s, tg_3s =  52.72 t/s
1.37.614.069 I slot print_timing: id  0 | task 0 | n_gen =   2094, tg =  53.13 t/s, tg_3s =  46.94 t/s
1.40.657.121 I slot print_timing: id  0 | task 0 | n_gen =   2252, tg =  53.05 t/s, tg_3s =  51.92 t/s
1.43.695.551 I slot print_timing: id  0 | task 0 | n_gen =   2389, tg =  52.51 t/s, tg_3s =  45.09 t/s
1.46.730.966 I slot print_timing: id  0 | task 0 | n_gen =   2548, tg =  52.51 t/s, tg_3s =  52.38 t/s
1.49.774.778 I slot print_timing: id  0 | task 0 | n_gen =   2702, tg =  52.39 t/s, tg_3s =  50.59 t/s
1.52.826.638 I slot print_timing: id  0 | task 0 | n_gen =   2833, tg =  51.86 t/s, tg_3s =  42.92 t/s
1.55.893.406 I slot print_timing: id  0 | task 0 | n_gen =   2961, tg =  51.33 t/s, tg_3s =  41.74 t/s
1.58.954.034 I slot print_timing: id  0 | task 0 | n_gen =   3104, tg =  51.09 t/s, tg_3s =  46.72 t/s
2.01.998.510 I slot print_timing: id  0 | task 0 | n_gen =   3247, tg =  50.90 t/s, tg_3s =  46.97 t/s
2.05.057.184 I slot print_timing: id  0 | task 0 | n_gen =   3364, tg =  50.32 t/s, tg_3s =  38.25 t/s
2.08.115.162 I slot print_timing: id  0 | task 0 | n_gen =   3483, tg =  49.82 t/s, tg_3s =  38.91 t/s
2.11.173.396 I slot print_timing: id  0 | task 0 | n_gen =   3626, tg =  49.69 t/s, tg_3s =  46.76 t/s
2.13.761.333 I slot print_timing: id  0 | task 0 | prompt eval time =   21047.82 ms / 17472 tokens (    1.20 ms per token,   830.11 tokens per second)
2.13.761.336 I slot print_timing: id  0 | task 0 |        eval time =   75539.17 ms /  3751 tokens (   20.14 ms per token,    49.64 tokens per second)
2.13.761.338 I slot print_timing: id  0 | task 0 |       total time =   96586.99 ms / 21223 tokens
2.13.761.344 I slot print_timing: id  0 | task 0 |    graphs reused =       1133
2.13.761.348 I slot print_timing: id  0 | task 0 | draft acceptance = 0.75676 ( 2604 accepted /  3441 generated), mean len =  3.27
2.19.616.489 I slot print_timing: id  0 | task 1161 | prompt processing, n_tokens =   4096, progress = 0.52, t =   4.62 s / 886.61 tokens per second
2.22.049.318 I slot print_timing: id  0 | task 1161 | prompt processing, n_tokens =   6144, progress = 0.63, t =   7.05 s / 871.81 tokens per second
2.24.547.525 I slot print_timing: id  0 | task 1161 | prompt processing, n_tokens =   8192, progress = 0.74, t =   9.54 s / 858.94 tokens per second
2.26.807.129 I slot print_timing: id  0 | task 1161 | prompt processing, n_tokens =   9975, progress = 0.84, t =  11.79 s / 845.89 tokens per second
2.29.514.070 I slot print_timing: id  0 | task 1161 | prompt processing, n_tokens =  12023, progress = 0.95, t =  14.49 s / 829.68 tokens per second
2.30.461.902 I slot print_timing: id  0 | task 1161 | prompt processing, n_tokens =  12715, progress = 0.99, t =  15.52 s / 819.43 tokens per second
2.30.717.711 I slot print_timing: id  0 | task 1161 | prompt processing, n_tokens =  12808, progress = 0.99, t =  15.86 s / 807.52 tokens per second
2.31.079.376 I slot print_timing: id  0 | task 1161 | prompt processing, n_tokens =  12971, progress = 1.00, t =  16.18 s / 801.64 tokens per second
2.34.368.228 I slot print_timing: id  0 | task 1161 | n_gen =    139, tg =  45.68 t/s, tg_3s =  46.01 t/s
2.37.395.201 I slot print_timing: id  0 | task 1161 | n_gen =    300, tg =  49.44 t/s, tg_3s =  53.19 t/s
2.40.423.063 I slot print_timing: id  0 | task 1161 | n_gen =    468, tg =  51.46 t/s, tg_3s =  55.48 t/s
2.43.454.465 I slot print_timing: id  0 | task 1161 | n_gen =    636, tg =  52.45 t/s, tg_3s =  55.42 t/s
2.46.489.898 I slot print_timing: id  0 | task 1161 | n_gen =    795, tg =  52.44 t/s, tg_3s =  52.38 t/s
2.49.521.771 I slot print_timing: id  0 | task 1161 | n_gen =    906, tg =  49.80 t/s, tg_3s =  36.61 t/s
2.52.541.970 I slot print_timing: id  0 | task 1161 | n_gen =   1008, tg =  47.51 t/s, tg_3s =  33.77 t/s
2.55.587.609 I slot print_timing: id  0 | task 1161 | n_gen =   1164, tg =  47.98 t/s, tg_3s =  51.22 t/s
2.58.589.514 I slot print_timing: id  0 | task 1161 | n_gen =   1323, tg =  48.53 t/s, tg_3s =  52.97 t/s
3.01.634.193 I slot print_timing: id  0 | task 1161 | n_gen =   1471, tg =  48.54 t/s, tg_3s =  48.61 t/s
3.04.695.733 I slot print_timing: id  0 | task 1161 | n_gen =   1626, tg =  48.73 t/s, tg_3s =  50.63 t/s
3.07.752.773 I slot print_timing: id  0 | task 1161 | n_gen =   1768, tg =  48.54 t/s, tg_3s =  46.45 t/s
3.10.812.221 I slot print_timing: id  0 | task 1161 | n_gen =   1928, tg =  48.83 t/s, tg_3s =  52.30 t/s
3.13.813.102 I slot print_timing: id  0 | task 1161 | n_gen =   2075, tg =  48.84 t/s, tg_3s =  48.99 t/s
3.16.878.125 I slot print_timing: id  0 | task 1161 | n_gen =   2229, tg =  48.93 t/s, tg_3s =  50.24 t/s
3.19.940.962 I slot print_timing: id  0 | task 1161 | n_gen =   2371, tg =  48.77 t/s, tg_3s =  46.36 t/s
3.22.943.612 I slot print_timing: id  0 | task 1161 | n_gen =   2529, tg =  49.00 t/s, tg_3s =  52.62 t/s
3.25.947.688 I slot print_timing: id  0 | task 1161 | n_gen =   2667, tg =  48.83 t/s, tg_3s =  45.94 t/s
3.29.011.352 I slot print_timing: id  0 | task 1161 | n_gen =   2793, tg =  48.42 t/s, tg_3s =  41.13 t/s
3.32.017.200 I slot print_timing: id  0 | task 1161 | n_gen =   2927, tg =  48.23 t/s, tg_3s =  44.58 t/s
3.35.025.951 I slot print_timing: id  0 | task 1161 | n_gen =   3041, tg =  47.74 t/s, tg_3s =  37.89 t/s
3.38.041.873 I slot print_timing: id  0 | task 1161 | n_gen =   3182, tg =  47.70 t/s, tg_3s =  46.75 t/s
3.38.847.002 I slot print_timing: id  0 | task 1161 | prompt eval time =   16541.67 ms / 12975 tokens (    1.27 ms per token,   784.38 tokens per second)
